media_url,media_caption,media_credit,start_date_month,start_date_day,start_date_year,text_headline,text_text
https://youtu.be/_gvJCCZzmro,"Houston's mother and Gospel singer, Cissy Houston (left) and cousin Dionne Warwick.",Cissy Houston photo:<a href='http://www.flickr.com/photos/11447043@N00/418180903/'>Tom Marcello</a><br/><a href='http://commons.wikimedia.org/wiki/File%3ADionne_Warwick_television_special_1969.JPG'>Dionne Warwick: CBS Television via Wikimedia Commons</a>,8,9,1963,A Musical Heritage,"<p>Born in New Jersey on August 9th, 1963, Houston grew up surrounded by the music business. Her mother is gospel singer Cissy Houston and her cousins are Dee Dee and Dionne Warwick.</p>"
https://youtu.be/fSrO91XO1Ck,,"<a href=""http://unidiscmusic.com"">Unidisc Music</a>",,,1978,First Recording,"At the age of 15 Houston was featured on Michael Zager's song, Life's a Party."
https://youtu.be/_gvJCCZzmro,A young poised Whitney Houston in an interview with EbonyJet.,EbonyJet,,,1978,The Early Years,"As a teen Houston's credits include background vocals for Jermaine Jackson, Lou Rawls and the Neville Brothers. She also sang on Chaka Khan's, 'I'm Every Woman,' a song which she later remade for the <i>Bodyguard</i> soundtrack which is the biggest selling soundtrack of all time. It sold over 42 million copies worldwide."
https://youtu.be/H7_sqdkaAfo,I'm Every Women as performed by Whitney Houston.,Arista Records,,,1978,Early Album Credits,"As a teen Houston's credits include background vocals for Jermaine Jackson, Lou Rawls and the Neville Brothers. She also sang on Chaka Khan's, 'I'm Every Woman,' a song which she later remade for the <i>Bodyguard</i> soundtrack which is the biggest selling soundtrack of all time. It sold over 42 million copies worldwide."
https://youtu.be/A4jGzNm2yPI,Whitney Houston and Clive Davis discussing her discovery and her eponymous first album.,Sony Music Entertainment,,,1983,Signed,Houston is signed to Arista Records after exec Clive Davis sees her performing on stage with her mother in New York.
https://youtu.be/m3-hY-hlhBg,The 'How Will I Know' video showcases the youthful energy that boosted Houston to stardom.,Arista Records Inc.,,,1985,Debut,"Whitney Houston's self titled first release sold over 12 million copies in the U.S. and included the hit singles 'How Will I Know,' 'You Give Good Love,' 'Saving All My Love For You' and 'Greatest Love of All.'"
https://youtu.be/v0XuiMX1XHg,"Dionne Warwick gleefully announces cousin, Whitney Houston, the winner of the Best Female Pop Vocal Performance for the song Saving All My Love.",<a href='http://grammy.org'>The Recording Academy</a>,,,1986,'The Grammys',"In 1986 Houston won her first Grammy for the song Saving All My Love. In total she has won six Grammys, the last of which she won in 1999 for It's Not Right But It's Okay."
https://youtu.be/eH3giaIzONA,I Wanna Dance With Somebody,Arista Records Inc.,,,1987,'Whitney',"Multiplatinum second album sells more than 20 million copies worldwide. With 'Whitney', Houston became the first female artist to produce four number 1 singles on one album including ""I Wanna Dance With Somebody,' 'Didn't We Almost Have It All,' 'So Emotional' and 'Where Do Broken Hearts Go.'"
https://youtu.be/96aAx0kxVSA,"""One Moment In Time"" - Theme song to the 1988 Seoul Olympics",Arista Records Inc.,,,1988,"""One Moment In Time""","The artist's fame continues to skyrocket as she records the theme song for the Seoul Olympics, 'One Moment In Time.'"
,,,,,1989,Bobby Brown,"Houston and Brown first meet at the Soul Train Music Awards. In an interview with Rolling Stone Magazine, Houston admitted that it was not love at first sight. She turned down Brown's first marriage proposal but eventually fell in love with him."
https://youtu.be/5Fa09teeaqs,CNN looks back at Houston's iconic performance of the national anthem at Superbowl XXV.,CNN,,,1991,Super Bowl,Houston's national anthem performance captures the hearts and minds of Americans ralllying behind soldiers in the Persian Guf War.
https://youtu.be/h9rCobRl-ng,"""Run To You"" from the 1992 ""Bodyguard"" soundtrack..",Arista Records,,,1992,"""The Bodyguard""","Houston starred opposite Kevin Costner in the box office hit, The Bodyguard. The soundtrack to the movie sold over 44 million copies worldwide  garnering 3 Grammy's for the artist."
https://youtu.be/5cDLZqe735k,"Bobby Brown performing ""My Prerogrative,"" from his ""Don't be Cruel"" solo album. Bobby Brown first became famous with the R&B group, New Edition.",,,,1992,Married Life,"<p>After three years of courtship, Houston marries New Edition singer Bobby Brown. Their only child Bobbi Kristina Brown was born in 1993.</p><p>In 2003 Brown was charged with domestic violence after police responded to a domestic violence call. Houston and Brown were featured in the reality show, ""Being bobby Brown,"" and divorced in 2007.</p>"
http://upload.wikimedia.org/wikipedia/commons/d/dd/ABC_-_Good_Morning_America_-_Diane_Sawyer.jpg,Diane Sawyer ,flickr/<a href='http://www.flickr.com/photos/23843757@N00/194521206/'>Amanda Benham</a>,,,2002,Crack is Whack,"<p>Houston first publicly admitted to drug use in an interview with Diane Sawyer. The singer coined the term ""Crack is Whack,"" saying that she only used more expensive drugs.</p>"
https://youtu.be/KLk6mt8FMR0,"Addiction expert, Dr. Drew, talks about Whitney's death and her struggle with addiction.",CNN,,,2004,Rehab,<p>Houston entered rehab several times beginning in 2004. She declared herself drug free in an interview with Oprah Winfrey in 2009 but returned to rehab in 2011.</p>
,,,,,2005,Being Bobby Brown,"<p>Being Bobby Brown was a reality show starring Brown and wife Whitney Houston. Houston refused to sign for a second season. A clip of her telling Brown to ""Kiss my ass,"" became a running gag on The Soup.</p>"
,,,,,2010,A Rocky Comeback,<p>Houston's comeback tour is cut short due to a diminished voice damaged by years of smoking. She was reportedly devastated at her inability to perform like her old self.</p>
http://twitter.com/Blavity/status/851872780949889024,"Houston, performing on Good Morning America in 2009.",<a href='http://commons.wikimedia.org/wiki/File%3AFlickr_Whitney_Houston_performing_on_GMA_2009_4.jpg'>Asterio Tecson</a> via Wikimedia,2,11,2012,Whitney Houston<br/> 1963-2012,"<p>Houston, 48, was discovered dead at the Beverly Hilton Hotel on  on Feb. 11, 2012. She is survived by her daughter, Bobbi Kristina Brown, and mother, Cissy Houston.</p>"
